Cameras,Total photos
Anteater camera,3004
Coyotetrail,1648
Historical_MarshTrail,1452
MacArthurBridge,1439
SDC_Hist_1,709
ResearchPark_Culvert,501
ConcordiaCulvert,280
Culver_Culvert,243
BonitaCanyonBridge,54
Ecopreserve_culvert,36
ChineseChurchCulvert,10
